"id","port","protocol","official"
1,"0/TCP,UDP",保留端口；不使用（若发送过程不准备接受回复消息，则可以作为源端口）,官方
2,"1/TCP,UDP",TCPMUX（传输控制协议端口服务多路开关选择器）,官方
3,"5/TCP,UDP",RJE（远程作业登录）,官方
4,"7/TCP,UDP",Echo（回显）协议,官方
5,"9/UDP",DISCARD（丢弃）协议,官方
6,"9/TCP,UDP",网络唤醒,非官方
7,"11/TCP,UDP",SYSTAT协议,官方
8,"13/TCP,UDP",DAYTIME协议,官方
9,"15/TCP,UDP",NETSTAT协议,官方
10,"17/TCP,UDP",QOTD（Quote of the Day，每日引用）协议,官方
11,"18/TCP,UDP",消息发送协议,官方
12,"19/TCP,UDP",CHARGEN（字符发生器）协议,官方
13,"20/TCP,UDP",文件传输协议?- 默认数据端口,官方
14,"21/TCP,UDP",文件传输协议?- 控制端口,官方
15,"22/TCP,UDP",SSH（Secure Shell） - 安全远程登录协议，用于安全文件传输（SCP、SFTP）及端口转发,官方
16,"23/TCP,UDP",Telnet终端仿真协议 - 未加密文本通信,官方
17,"25/TCP,UDP",SMTP（简单邮件传输协议）?- 用于传递电子邮件,官方
18,"26/TCP,UDP",RSFTP?- 一个简单的类似FTP的协议,非官方
19,"35/TCP,UDP",任意的私有打印机服务端口,非官方
20,"37/TCP,UDP",TIME时间协议,官方
21,"39/TCP,UDP",Resource Location Protocol（资源定位协议）,官方
22,"41/TCP,UDP",图形,官方
23,"42/TCP,UDP",Host Name Server,官方
24,"42/TCP,UDP",WINS（WINS主机名服务）,非官方
25,"43/TCP",WHOIS协议,官方
26,"49/TCP,UDP",TACACS登录主机协议,官方
27,"53/TCP,UDP",DNS（域名服务系统）,官方
28,"56/TCP,UDP",远程访问协议,官方
29,"57/TCP",MTP，邮件传输协议,官方
30,"67/UDP",BOOTP（BootStrap协议）服务；同时用于动态主机设置协议,官方
31,"68/UDP",BOOTP客户端；同时用于动态主机设定协议,官方
32,"69/UDP",小型文件传输协议（小型文件传输协议）,官方
33,"70/TCP",Gopher,官方
34,"79/TCP",手指协议,官方
35,"80/TCP,UDP",超文本传输协议（超文本传输协议）或快速UDP网络连接- 用于传输网页,官方
36,"81/TCP",XB Browser?-?Tor,非官方
37,"82/UDP",XB Browser?- 控制端口,非官方
38,"88/TCP",Kerberos?- 认证代理,官方
39,"101/TCP",主机名,官方
40,"102/TCP",ISO-TSAP协议,官方
41,"107/TCP",远程Telnet协议,官方
42,"109/TCP",邮局协议（POP），第2版,官方
43,"110/TCP",邮局协议，第3版 - 用于接收电子邮件,官方
44,"111/TCP,UDP",Sun远程过程调用协议,官方
45,"113/TCP",Ident?- 旧的服务器身份识别系统，仍然被IRC服务器用来认证它的用户,官方
46,"115/TCP",简单文件传输协议,官方
47,"117/TCP",UNIX间复制协议（Unix to?Unix?Copy?Protocol，UUCP）的路径确定服务,官方
48,"118/TCP,UDP",SQL服务,官方
49,"119/TCP",网络新闻传输协议?- 用来收取新闻组的消息,官方
50,"123/UDP",NTP（Network Time Protocol） - 用于时间同步,官方
51,"135/TCP,UDP",分布式运算环境（Distributed Computing Environment，DCE）终端解决方案及定位服务,官方
52,"135/TCP,UDP",微软终端映射器（End Point Mapper，EPMAP）,官方
53,"137/TCP,UDP",NetBIOS?NetBIOS 名称服务,官方
54,"138/TCP,UDP",NetBIOS?NetBIOS 数据报文服务,官方
55,"139/TCP,UDP",NetBIOS?NetBIOS 会话服务,官方
56,"143/TCP,UDP",因特网信息访问协议（IMAP） - 用于检索电子邮件,官方
57,"152/TCP,UDP","BFTP, 后台文件传输程序",官方
58,"153/TCP,UDP",简单网关监控协议（Simple Gateway Monitoring Protocol，SGMP）,官方
59,"156/TCP,UDP",SQL服务,官方
60,"158/TCP,UDP","DMSP, 分布式邮件服务协议",非官方
61,"161/TCP,UDP",简单网络管理协议（SNMP),官方
62,"162/TCP,UDP",SNMP协议的TRAP操作,官方
63,"170/TCP",打印服务,官方
64,"179/TCP",边界网关协议?(BGP),官方
65,"194/TCP",IRC（互联网中继聊天）,官方
66,"201/TCP,UDP",AppleTalk 路由维护,官方
67,"209/TCP,UDP",Quick Mail 传输协议,官方
68,"213/TCP,UDP",互联网分组交换协议（IPX）,官方
69,"218/TCP,UDP",MPP，信息发布协议,官方
70,"220/TCP,UDP",因特网信息访问协议（IMAP），第3版,官方
71,"259/TCP,UDP","ESRO, Efficient Short Remote Operations",官方
72,"264/TCP,UDP",BGMP，边界网关多播协议,官方
73,"308/TCP",Novastor 在线备份,官方
74,"311/TCP",Apple 服务器管理员工具、工作组管理,官方
75,"318/TCP,UDP",TSP，时间戳协议,官方
76,"323/TCP,UDP","IMMP, Internet消息映射协议",官方
77,"383/TCP,UDP",HP OpenView HTTPs 代理程序,官方
78,"366/TCP,UDP",ODMR，按需邮件传递,官方
79,"369/TCP,UDP",Rpc2 端口映射,官方
80,"371/TCP,UDP",ClearCase 负载平衡,官方
81,"384/TCP,UDP",一个远程网络服务器系统,官方
82,"387/TCP,UDP",AURP，AppleTalk 升级用路由协议,官方
83,"389/TCP,UDP",轻型目录访问协议 LDAP,官方
84,"401/TCP,UDP",不间断电源（UPS）,官方
85,"411/TCP",Direct Connect?Hub 端口,非官方
86,"412/TCP",Direct Connect?客户端—客户端 端口,非官方
87,"427/TCP,UDP",服务定位协议（SLP）,官方
88,"443/TCP",超文本传输安全协议或QUIC,官方
89,"444/TCP,UDP",SNPP，简单网络分页协议,官方
90,"445/TCP",Microsoft-DS (Active Directory、Windows 共享、震荡波蠕虫、Agobot、Zobotworm),官方
91,"445/UDP",Microsoft-DS?服务器消息块（SMB）文件共享,官方
92,"464/TCP,UDP",Kerberos 更改/设定密码,官方
93,"465/TCP",Cisco 专用协议,官方
94,"465/TCP",传输层安全性协议加密的简单邮件传输协议,官方
95,"475/TCP",tcpnethaspsrv（Hasp?服务，TCP/IP 版本）,官方
96,"497/TCP",dantz?备份服务,官方
97,"500/TCP,UDP",网络安全关系与密钥管理协议，IKE-Internet 密钥交换,官方
98,"502/TCP,UDP",Modbus?协议,官方
99,"512/TCP",exec，远程进程执行,官方
100,"512/UDP",comsat 和?biff?命令：用于电子邮件系统,官方
101,"513/TCP",login，登录命令,官方
102,"513/UDP",Who命令，查看当前登录计算机的用户,官方
103,"514/TCP",远程外壳?protocol - 用于在远程计算机上执行非交互式命令，并查看返回结果,官方
104,"514/UDP",Syslog?协议 - 用于系统登录,官方
